device	var																																																																																
all	beats	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625
all	routine																																																																																
motor	angle																																																																																
motor	speed																																																																																
laser	hside12	1																1																																				1					1			1			1					1					1			1			1
laser	hside23	1																1																1																1							1								1	1							1								1
laser	hside31	1																1																1																		1									1		1		1			1									1		1		1
laser	bside12	1																1																1																					1			1							1						1			1							1
laser	bside23	1																1																1																	1											1			1		1											1			1
laser	bside31	1																1																1																									1						1										1						1
laser	top	1																1																1																			1			1					1		1		1				1			1					1		1		1
leds	bright	1				1				1				1				1				1				1				1				1				1				1				1																																	2		1
leds	side_T1_NE	1		1		1		1		1		1		1		1		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		1		1		1		1		1		1		1		1		1		1		1		1	1		1		1		1		
leds	side_T1_SE	1		1		1		1		1		1		1		1		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		1		1		1		1		1		1		1		1		1		1		1		1	1		1		1		1		
leds	side_T1_SW		1		1		1		1		1		1		1		1		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		1		1		1		1		1		1		1		1		1		1		1			1		1		1			
leds	side_T1_NW		1		1		1		1		1		1		1		1		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		1		1		1		1		1		1		1		1		1		1		1			1		1		1			
leds	side_T2_NE	1		1		1		1		1		1		1		1		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		1		1		1		1		1		1		1		1		1		1		1		1	1		1		1		1		
leds	side_T2_SE	1		1		1		1		1		1		1		1		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		1		1		1		1		1		1		1		1		1		1		1		1	1		1		1		1		
leds	side_T2_SW		1		1		1		1		1		1		1		1		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		1		1		1		1		1		1		1		1		1		1		1			1		1		1			
leds	side_T2_NW		1		1		1		1		1		1		1		1		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		1		1		1		1		1		1		1		1		1		1		1			1		1		1			
leds	side_T3_NE	1		1		1		1		1		1		1		1		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		1		1		1		1		1		1		1		1		1		1		1		1	1		1		1		1		
leds	side_T3_SE	1		1		1		1		1		1		1		1		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		1		1		1		1		1		1		1		1		1		1		1		1	1		1		1		1		
leds	side_T3_SW		1		1		1		1		1		1		1		1		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		1		1		1		1		1		1		1		1		1		1		1			1		1		1			
leds	side_T3_NW		1		1		1		1		1		1		1		1		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		1		1		1		1		1		1		1		1		1		1		1			1		1		1			
leds	side_B1_NE	1		1		1		1		1		1		1		1		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		1		1		1		1		1		1		1		1		1		1		1		1	1		1		1		1		
leds	side_B1_SE	1		1		1		1		1		1		1		1		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		1		1		1		1		1		1		1		1		1		1		1		1	1		1		1		1		
leds	side_B1_SW		1		1		1		1		1		1		1		1		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		1		1		1		1		1		1		1		1		1		1		1			1		1		1			
leds	side_B1_NW		1		1		1		1		1		1		1		1		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		1		1		1		1		1		1		1		1		1		1		1			1		1		1			
leds	side_B2_NE	1		1		1		1		1		1		1		1		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		1		1		1		1		1		1		1		1		1		1		1		1	1		1		1		1		
leds	side_B2_SE	1		1		1		1		1		1		1		1		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		1		1		1		1		1		1		1		1		1		1		1		1	1		1		1		1		
leds	side_B2_SW		1		1		1		1		1		1		1		1		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		1		1		1		1		1		1		1		1		1		1		1			1		1		1			
leds	side_B2_NW		1		1		1		1		1		1		1		1		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		1		1		1		1		1		1		1		1		1		1		1			1		1		1			
leds	side_B3_NE	1		1		1		1		1		1		1		1		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		1		1		1		1		1		1		1		1		1		1		1		1	1		1		1		1		
leds	side_B3_SE	1		1		1		1		1		1		1		1		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		1		1		1		1		1		1		1		1		1		1		1		1	1		1		1		1		
leds	side_B3_SW		1		1		1		1		1		1		1		1		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		1		1		1		1		1		1		1		1		1		1		1			1		1		1			
leds	side_B3_NW		1		1		1		1		1		1		1		1		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		1		1		1		1		1		1		1		1		1		1		1			1		1		1			
