device	var																																																																																
all	beats	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625
all	routine																																																																																
motor	angle																																																																																
motor	speed																																																																																
laser	hside12																																																					1					1			1			1					1					1			1			1
laser	hside23																																																	1							1								1	1							1								1
laser	hside31																																																			1									1		1		1			1									1		1		1
laser	bside12																																																						1			1							1						1			1							1
laser	bside23																																																		1											1			1		1											1			1
laser	bside31																																																										1						1										1						1
laser	top																																																				1			1					1		1		1				1			1					1		1		1
leds	bright	1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1																															2		1
leds	face_T1	1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1																															2		1
leds	face_T2	1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1																															2		1
leds	face_T3	1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1																															2		1
leds	face_B1	1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1																															2		1
leds	face_B2	1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1																															2		1
leds	face_B3	1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1		1																															2		1
